Course Title,Provider,Academic Year,Subjects,Study Options,Duration,Location
Software Engineering,Edinburgh Napier University,2024,"Software engineering, Computers, Information systems, Computer graphics, Artificial intelligence, Data analysis, Web design, Database design",Full-time,"{'quantity': 4, 'durationType': {'id': '4', 'mappedCaption': None, 'caption': 'Years'}}","Merchiston Campus, 10 Colinton Road, , Edinburgh, EH10 5DT, Unknown"
Adult Nursing,Manchester Metropolitan University,2024,"District nursing, Hospital support services, Nursing, Community health, Health care, Occupational health",Full-time,"{'quantity': 3, 'durationType': {'id': '4', 'mappedCaption': None, 'caption': 'Years'}}","Main Site, Academic Division, All Saints, Manchester, M15 6BH, Unknown"
Business Management,University College Birmingham,2024,"Finance, Business and management, International business studies, Marketing, Digital Media, Supply chain management, Careers guidance, Financial decision making, Business communication, Leadership, Brand management, Risk management",Full-time,"{'quantity': 3, 'durationType': {'id': '4', 'mappedCaption': None, 'caption': 'Years'}}","University College Birmingham, Summer Row, None, Birmingham, B3 1JB, Unknown"
History,University of Central Lancashire,2024,"History, British history, European history, Cultural history, Heritage studies",Full-time,"{'quantity': 3, 'durationType': {'id': '4', 'mappedCaption': None, 'caption': 'Years'}}","Main Site, Admissions Office, , Preston, PR1 2HE, Unknown"
Food Science and Nutrition,"Northumbria University, Newcastle",2024,"Nutrition, Food science, Food, Food analysis, Food processing, Food hygiene, Applied science",Full-time with time abroad,"{'quantity': 4, 'durationType': {'id': '4', 'mappedCaption': None, 'caption': 'Years'}}","Main Site, Sutherland Building, None, Newcastle upon Tyne, NE1 8ST, Unknown"
Film Studies,University of Salford,2024,"Film studies, Media studies",Full-time,"{'quantity': 3, 'durationType': {'id': '4', 'mappedCaption': None, 'caption': 'Years'}}","Peel Park Campus, The Crescent, None, Salford, M5 4WT, Unknown"
Business Management with Logistics and Supply Chain (with placement year),University of Hull,2024,"Business and management, Business studies, Logistics, Supply chain management, Project management, Management",Full-time with year in industry,"{'quantity': 4, 'durationType': {'id': '4', 'mappedCaption': None, 'caption': 'Years'}}","The University of Hull, Cottingham Road, None, Hull, HU6 7RX, Unknown"
Fine Art with Arts Foundation Year,University of Lincoln,2024,Fine art,Full-time,"{'quantity': 4, 'durationType': {'id': '4', 'mappedCaption': None, 'caption': 'Years'}}","Lincoln (Main Site), Brayford Pool, , Lincoln, LN6 7TS, Unknown"
Fine Art (Bristol School of Art),SGS (South Gloucestershire and Stroud College),2024,"Fine art, Drawing, Painting",Full-time,"{'quantity': 2, 'durationType': {'id': '4', 'mappedCaption': None, 'caption': 'Years'}}","Bristol School of Art, Queens Road, None, Bristol, BS8 1PX, Unknown"
Music Education (BEd Hons),Royal Conservatoire of Scotland,2024,"Teaching, Music (secondary teaching), Teaching (secondary teaching), Music, Music (primary teaching), Education",Full-time,"{'quantity': 4, 'durationType': {'id': '4', 'mappedCaption': None, 'caption': 'Years'}}","Main Site, 100 Renfrew Street, None, Glasgow, G2 3DB, Unknown"
English Literature,"Northumbria University, Newcastle",2024,"English literature, English, Literature",Full-time with time abroad,"{'quantity': 4, 'durationType': {'id': '4', 'mappedCaption': None, 'caption': 'Years'}}","Main Site, Sutherland Building, None, Newcastle upon Tyne, NE1 8ST, Unknown"
Anthropology with a Language,University of Sussex,2024,"Anthropology, Social anthropology, Ethnology, Modern languages, International studies, Social studies, Third world studies, Community studies, Social research",Full-time,"{'quantity': 3, 'durationType': {'id': '4', 'mappedCaption': None, 'caption': 'Years'}}","Main Site, Sussex House, Falmer, Brighton, BN1 9RH, Unknown"
Architecture,University of the Arts London,2024,Architecture,Full-time,"{'quantity': 3, 'durationType': {'id': '4', 'mappedCaption': None, 'caption': 'Years'}}","Central Saint Martins, 1 Granary Square, None, London, N1C 4AA, Unknown"
Climate and Environment Sciences with Foundation Year,Liverpool John Moores University,2024,"Climate studies, Environment, Climate Change, Environmental science, Environmental protection, Environmental conservation",Full-time,"{'quantity': 4, 'durationType': {'id': '4', 'mappedCaption': None, 'caption': 'Years'}}","Liverpool John Moores University, Student Recruitment and Admissions, Tithebarn Street, Liverpool, L2 2QP, Unknown"
Electrical and Electronic Engineering,University of Bolton,2024,"Electronic engineering, Engineering, Electrical engineering",Full-time,"{'quantity': 3, 'durationType': {'id': '4', 'mappedCaption': None, 'caption': 'Years'}}","University of Bolton Main Site, Greater Manchester, Deane Road, None, Bolton, BL3 5AB, Unknown"
Biology,University of Stirling,2024,Biology,Full-time,"{'quantity': 4, 'durationType': {'id': '4', 'mappedCaption': None, 'caption': 'Years'}}","Main Site, Grange Road, None, Stirling, FK9 4LA, Unknown"
Fashion,The Northern School of Art,2024,"Fashion, Fashion design, Clothing production, Textile pattern cutting, Dress patternmaking, Dressmaking, Fashion forecasting, Fashion merchandising, Communication design, Computer aided design, 3D Visualisation, Fashion styling",Full-time,"{'quantity': 3, 'durationType': {'id': '4', 'mappedCaption': None, 'caption': 'Years'}}","The Northern School of Art, Church Square, None, Hartlepool, TS24 7EX, Unknown"
Computing with Information Technology Management,"Northumbria University, Newcastle",2024,"Computer science, Information technology",Full-time,"{'quantity': 3, 'durationType': {'id': '4', 'mappedCaption': None, 'caption': 'Years'}}","Northumbria University London Campus, 110 Middlesex Street, None, London, E1 7HT, Unknown"
Occupational Therapy,Buckinghamshire New University,2024,Occupational therapy,Full-time,"{'quantity': 3, 'durationType': {'id': '4', 'mappedCaption': None, 'caption': 'Years'}}","Buckinghamshire New University, Queen Alexandra Road, None, High Wycombe, HP11 2JZ, Unknown"
Architecture,"Bristol, University of the West of England",2024,"Architecture, Design",Full-time,"{'quantity': 3, 'durationType': {'id': '4', 'mappedCaption': None, 'caption': 'Years'}}","Frenchay Campus, Coldharbour Lane, , Bristol, BS16 1QY, Unknown"
Adult Nursing,Coventry University,2024,"Nursing, Home nursing, Community health, Disability studies, Health and disease, Health care, Health education, Nursing (adult), Nursing education, Palliative care, Primary health care, Community care",Full-time,"{'quantity': 3, 'durationType': {'id': '4', 'mappedCaption': None, 'caption': 'Years'}}","CU Scarborough, Ashburn Road, None, Scarborough, YO11 2JW, Unknown"
Food Science and Nutrition,Queen's University Belfast,2024,"Food, Food studies, Nutrition",Full-time,"{'quantity': 3, 'durationType': {'id': '4', 'mappedCaption': None, 'caption': 'Years'}}","Main Site, University Road, None, Belfast, BT7 1NN, Unknown"
Geography,"Birkbeck, University of London",2024,"Geography, Human geography, Physical geography, Geographical information systems",Part-time,"{'quantity': 4, 'durationType': {'id': '4', 'mappedCaption': None, 'caption': 'Years'}}","Main Site, Malet Street, None, London, WC1E 7HX, Unknown"
Information Technology,Middlesex University,2024,"Information technology, Computer science, Information science",Full-time,"{'quantity': 3, 'durationType': {'id': '4', 'mappedCaption': None, 'caption': 'Years'}}","Hendon Campus, The Burroughs, , London, NW4 4BT, Unknown"
Biochemistry with a Foundation Year,University of East Anglia UEA,2024,"Biochemistry, Biological sciences, Chemistry, Pharmacy, Pharmacology, Natural science",Full-time,"{'quantity': 4, 'durationType': {'id': '4', 'mappedCaption': None, 'caption': 'Years'}}","Main Site, University of East Anglia, None, Norwich, NR4 7TJ, Unknown"
Journalism (Communication),Brunel University London,2024,"Journalism, Politics",Full-time,"{'quantity': 3, 'durationType': {'id': '4', 'mappedCaption': None, 'caption': 'Years'}}","Main Site, Kingston Lane, None, Uxbridge, UB8 3PH, Unknown"
Film Studies,University of Warwick,2024,"Film studies, American literature, Audio-visual studies, Broadcasting, European literature, Literary criticism, Mass communication, Media production, Nineteenth-century literature, Television studies, Video studies, Cinematics",Full-time,"{'quantity': 3, 'durationType': {'id': '4', 'mappedCaption': None, 'caption': 'Years'}}","Main Site, Academic Office, , Coventry, CV4 7AL, Unknown"
Occupational Therapy,University of East Anglia UEA,2024,Occupational therapy,Full-time,"{'quantity': 3, 'durationType': {'id': '4', 'mappedCaption': None, 'caption': 'Years'}}","Main Site, University of East Anglia, None, Norwich, NR4 7TJ, Unknown"
Food and Nutrition Science (With Professional Practice Year),University of Bedfordshire,2024,"Food science, Food biotechnology, Food hygiene, Food microbiology, Food processing, Food studies, Cell biology, Applied chemistry, Chemistry, Applied biology, Biology, Applied biochemistry, Biochemistry, Applied microbiology, Microbiology, Nutrition, Plant nutrition, Human physiology, Immunology, Molecular genetics, Molecular biochemistry, Molecular biology, Molecular chemistry, Biotechnology, Plant biotechnology, Plant science, Public health, Applied science, Science",Full-time with year in industry,"{'quantity': 4, 'durationType': {'id': '4', 'mappedCaption': None, 'caption': 'Years'}}","Luton Campus, Park Square, , Luton, LU1 3JU, Unknown"
Broadcast Journalism,University of Huddersfield,2024,"Broadcast journalism, Journalism, Broadcasting, Communication studies, Mass communication, Radio journalism, Television journalism, Radio studies",Sandwich,"{'quantity': 4, 'durationType': {'id': '4', 'mappedCaption': None, 'caption': 'Years'}}","Main Site, Queensgate, None, Huddersfield, HD1 3DH, Unknown"
Creative and Professional Writing,"St Mary's University, Twickenham",2024,Creative writing,Full-time,"{'quantity': 3, 'durationType': {'id': '4', 'mappedCaption': None, 'caption': 'Years'}}","Main Site, St Mary's University, None, Twickenham, TW1 4SX, Unknown"
Occupational Therapy,University of Sunderland,2024,Occupational therapy,Full-time,"{'quantity': 3, 'durationType': {'id': '4', 'mappedCaption': None, 'caption': 'Years'}}","City Campus, Chester Road, , Sunderland, SR1 3SD, Unknown"
Archaeology and Anthropology,Bournemouth University,2024,"Archaeology, Anthropological archaeology, Archaeological conservation, Archaeological method, Anthropology",Sandwich,"{'quantity': 4, 'durationType': {'id': '4', 'mappedCaption': None, 'caption': 'Years'}}","Main Site, Talbot Campus, , Poole, BH12 5BB, Unknown"
History,Bournemouth University,2024,"Humanities, History",Sandwich,"{'quantity': 4, 'durationType': {'id': '4', 'mappedCaption': None, 'caption': 'Years'}}","Main Site, Talbot Campus, , Poole, BH12 5BB, Unknown"
Psychology,University of Bristol,2024,"Psychology, Experimental psychology",Full-time,"{'quantity': 3, 'durationType': {'id': '4', 'mappedCaption': None, 'caption': 'Years'}}","Main Site, Beacon House, , Bristol, BS8 1QU, Unknown"
Fashion Design,University for the Creative Arts,2024,"Arts, Fashion design, Fashion, Fashion merchandising, Printed textiles, Retailing, Embroidery, Clothing, Clothing production, Creative studies",Full-time,"{'quantity': 3, 'durationType': {'id': '4', 'mappedCaption': None, 'caption': 'Years'}}","Epsom, Ashley Road, None, Epsom, KT18 5BE, Unknown"
Media Communications,University of the Arts London,2024,"Strategic management, Cultural studies, Marketing, Photography, Advertising, Communication studies, Mass communication, Media production, Media studies, Brand management, Public relations",Full-time,"{'quantity': 3, 'durationType': {'id': '4', 'mappedCaption': None, 'caption': 'Years'}}","London College of Communication, Elephant & Castle, None, London, SE1 6SB, Unknown"
